"Time","Position 1","Velocity 1","Acceleration 1","Position 2","Velocity 2","Acceleration 2"
3.26,-0.405,-0.136,-0.015,0.624,-0.018,0.395
3.28,-0.408,-0.142,-0.068,0.623,-0.008,0.748
3.30,-0.411,-0.144,0.088,0.623,0.022,0.607
3.32,-0.414,-0.135,0.131,0.625,0.029,-0.097
3.34,-0.416,-0.134,-0.021,0.625,0.011,-0.530
3.36,-0.419,-0.139,-0.044,0.625,-0.002,-0.455
3.38,-0.422,-0.138,0.030,0.625,-0.014,0.019
3.40,-0.424,-0.137,0.084,0.624,-0.009,0.735
3.42,-0.427,-0.136,0.200,0.623,0.034,0.580
3.44,-0.430,-0.130,0.334,0.626,0.040,-0.666
3.46,-0.432,-0.123,0.450,0.626,-0.014,-1.012
3.48,-0.435,-0.106,0.259,0.625,-0.026,-0.228
3.50,-0.436,-0.106,-0.237,0.625,-0.011,0.166
3.52,-0.439,-0.123,-0.399,0.625,-0.010,0.180
3.54,-0.441,-0.128,-0.229,0.624,-0.009,0.315
3.56,-0.444,-0.130,-0.063,0.624,-0.003,0.606
3.58,-0.447,-0.130,0.084,0.624,0.030,0.278
3.60,-0.449,-0.128,0.323,0.626,0.020,-0.540
3.62,-0.452,-0.120,0.769,0.625,-0.014,-0.456
3.64,-0.454,-0.104,2.133,0.625,-0.005,-0.060
3.66,-0.457,-0.063,6.605,0.625,-0.002,-0.157
3.68,-0.457,0.005,21.582,0.625,-0.013,-0.140
3.70,-0.458,0.488,48.876,0.624,-0.018,0.290
3.72,-0.455,1.819,72.873,0.624,-0.007,0.880
3.74,-0.429,4.696,35.117,0.623,0.037,0.574
3.76,-0.199,4.485,-58.002,0.626,0.036,-0.587
3.78,-0.180,1.094,-98.725,0.626,-0.009,-0.826
3.80,-0.210,-0.526,-87.001,0.625,-0.015,-0.175
3.82,-0.207,-1.826,-82.340,0.625,-0.008,0.264
3.84,-0.234,-4.598,-39.332,0.625,-0.006,0.655
3.86,-0.457,-4.416,42.506,0.624,0.027,0.531
3.88,-0.469,-1.615,67.194,0.627,0.035,-0.445
3.90,-0.472,-0.640,39.570,0.626,-0.003,-0.854
3.92,-0.482,-0.327,16.661,0.626,-0.016,-0.482
3.94,-0.487,-0.244,5.325,0.626,-0.021,-0.055
3.96,-0.490,-0.215,2.136,0.625,-0.018,0.366
3.98,-0.495,-0.188,1.506,0.625,-0.008,0.730
4.00,-0.498,-0.150,1.021,0.624,0.022,0.563
4.02,-0.501,-0.138,0.220,0.626,0.029,-0.242
4.04,-0.503,-0.143,-0.451,0.626,0.003,-0.656
4.06,-0.506,-0.171,-0.425,0.626,-0.010,-0.482
4.08,-0.511,-0.173,0.233,0.626,-0.015,-0.260
4.10,-0.514,-0.152,0.530,0.625,-0.019,0.017
4.12,-0.517,-0.143,0.365,0.625,-0.017,0.393
4.14,-0.519,-0.135,0.019,0.624,-0.008,0.837
4.16,-0.522,-0.139,-0.404,0.624,0.032,0.570
4.18,-0.524,-0.165,-0.179,0.627,0.031,-0.398
4.20,-0.529,-0.158,0.576,0.626,-0.002,-0.599
4.22,-0.531,-0.127,0.685,0.626,-0.005,-0.223
4.24,-0.534,-0.122,0.355,0.626,-0.012,0.251
4.26,-0.536,-0.117,0.126,0.625,0.010,0.477
4.28,-0.538,-0.116,-0.094,0.626,0.023,-0.036
4.30,-0.540,-0.125,-0.082,0.626,0.006,-0.459
4.32,-0.544,-0.125,0.148,0.626,-0.005,-0.454
4.34,-0.546,-0.115,0.198,0.626,-0.013,-0.328
4.36,-0.548,-0.112,0.064,0.626,-0.019,-0.085
4.38,-0.550,-0.115,0.023,0.625,-0.019,0.243
4.40,-0.553,-0.114,0.102,0.625,-0.013,0.655
4.42,-0.555,-0.110,0.144,0.624,0.016,0.620
4.44,-0.557,-0.106,0.052,0.626,0.026,-0.055
4.46,-0.559,-0.106,-0.092,0.626,0.008,-0.480
4.48,-0.561,-0.113,-0.074,0.626,-0.002,-0.514
4.50,-0.564,-0.113,0.104,0.626,-0.013,-0.439
4.52,-0.566,-0.106,0.176,0.625,-0.022,-0.203
4.54,-0.568,-0.103,0.128,0.625,-0.021,0.001
4.56,-0.570,-0.102,0.098,0.624,-0.019,0.068
4.58,-0.572,-0.099,0.037,0.624,-0.016,0.013
4.60,-0.574,-0.101,-0.010,0.624,-0.017,-0.110
4.62,-0.576,-0.099,-0.045,0.623,-0.024,-0.044
4.64,-0.578,-0.103,-0.061,0.623,-0.024,0.285
4.66,-0.580,-0.105,0.063,0.622,-0.014,0.675
4.68,-0.582,-0.099,0.128,0.622,0.006,0.829
4.70,-0.584,-0.097,0.061,0.622,0.034,0.266
4.72,-0.586,-0.096,-0.014,0.624,0.024,-0.662
4.74,-0.588,-0.098,-0.073,0.624,-0.008,-0.909
4.76,-0.590,-0.101,-0.048,0.623,-0.018,-0.789
4.78,-0.592,-0.101,0.041,0.623,-0.045,-0.366
4.80,-0.594,-0.098,0.037,0.621,-0.031,0.007
4.82,-0.596,-0.097,-0.122,0.623,-0.032,-0.146
4.84,-0.598,-0.100,-0.370,0.620,-0.050,0.204
4.86,-0.599,-0.111,-0.557,0.619,-0.024,0.556
4.88,-0.602,-0.134,-0.204,0.619,-0.017,0.517
4.90,-0.606,-0.127,0.487,0.619,-0.009,0.641
4.92,-0.607,-0.102,0.625,0.619,0.005,0.826
4.94,-0.609,-0.095,0.407,0.619,0.036,0.483
4.96,-0.611,-0.089,0.280,0.621,0.035,-0.300
4.98,-0.613,-0.085,0.180,0.621,0.011,-0.585
5.00,-0.614,-0.083,0.130,0.621,0.003,-0.561
