"Time","Position 1","Velocity 1","Acceleration 1","Position 2","Velocity 2","Acceleration 2"
3.44,-0.034,-0.004,-0.024,0.503,0.114,0.173
3.46,-0.034,-0.003,0.129,0.505,0.121,0.486
3.48,-0.034,0.004,0.157,0.507,0.144,0.293
3.50,-0.034,0.006,0.045,0.511,0.144,-0.410
3.52,-0.034,0.005,-0.069,0.513,0.119,-0.709
3.54,-0.034,0.002,-0.123,0.516,0.106,-0.523
3.56,-0.034,0.000,-0.123,0.518,0.098,-0.275
3.58,-0.034,-0.003,-0.125,0.519,0.096,-0.095
3.60,-0.034,-0.008,0.012,0.521,0.096,-0.026
3.62,-0.034,-0.004,0.219,0.523,0.096,-0.008
3.64,-0.034,0.005,0.222,0.525,0.096,-0.019
3.66,-0.034,0.009,0.017,0.527,0.096,-0.050
3.68,-0.034,0.005,-0.176,0.529,0.095,-0.098
3.70,-0.034,-0.003,-0.156,0.531,0.091,-0.099
3.72,-0.034,-0.004,-0.011,0.533,0.090,-0.053
3.74,-0.034,0.001,-0.007,0.535,0.089,-0.033
3.76,-0.034,-0.004,-0.022,0.536,0.089,-0.035
3.78,-0.034,-0.003,0.082,0.538,0.088,-0.049
3.80,-0.034,0.002,0.069,0.540,0.085,-0.001
3.82,-0.034,0.001,-0.004,0.541,0.088,0.045
3.84,-0.034,0.000,-0.014,0.543,0.089,0.017
3.86,-0.034,0.000,-0.011,0.545,0.089,-0.017
3.88,-0.034,0.000,-0.003,0.547,0.088,-0.048
3.90,-0.034,0.000,-0.001,0.549,0.085,-0.014
3.92,-0.034,0.000,-0.001,0.550,0.088,0.016
3.94,-0.034,0.000,-0.003,0.552,0.088,-0.020
3.96,-0.034,0.000,-0.014,0.554,0.085,0.000
3.98,-0.034,0.000,-0.028,0.555,0.088,0.019
4.00,-0.034,-0.001,-0.030,0.557,0.088,-0.020
4.02,-0.034,-0.003,0.046,0.559,0.085,-0.004
4.04,-0.034,0.000,0.125,0.561,0.088,0.001
4.06,-0.034,0.005,0.065,0.563,0.087,-0.066
4.08,-0.034,0.005,-0.065,0.564,0.084,-0.084
4.10,-0.034,0.000,-0.122,0.566,0.083,-0.047
4.12,-0.034,-0.003,-0.031,0.567,0.082,-0.018
